Artista,Nombre_Agencia_o_Manager,Correo_o_Contacto,Tipo_Contacto,URL_Fuente,Confianza,Notas,Seguidores_Aprox,Engagement_Impresion
Lenny Tavárez,MN2S (agencia de booking - Live Roster),info@mn2s.com,Email,https://mn2s.com/booking-agency/live-roster/lenny-tavarez/ ; https://mn2s.com/contact/,Media,"Confirmado por fetch directo: MN2S lo lista en su roster de booking y publica info@mn2s.com como contacto general de la agencia (mismo email para todos sus artistas, no exclusivo de Lenny Tavárez). No es un canal directo del management del artista, sino de un intermediario de industria.",,
Lenny Tavárez,De La Font Agency,Sin email directo publicado — solo formulario web,Formulario web,https://delafontagency.com/music-acts/booking-lenny-tavarez/,Baja,"Confirmado por fetch directo: la página no publica ningún email ni teléfono, solo un formulario 'Let's Get Started!'. Agencia de booking de terceros, no se confirma exclusividad.",,
Lenny Tavárez,(sin identificar - posible dato NO CONFIABLE),booking@ltavarez.com,Email (NO VERIFICADO),https://www.facebook.com/LennyTavarezTM/,Baja,"ADVERTENCIA: Este dato aparece repetido en resúmenes de búsqueda automatizados pero la investigación adicional sugiere que es POCO CONFIABLE: el dominio ltavarez.com NO resuelve (error DNS ENOTFOUND), y una de las páginas que supuestamente lo listaba (sovietstory.com, un sitio de tipo 'celebrity contact') está caída y redirige a un sitio de joyería sin relación. No pude renderizar directamente la sección 'Información de contacto' de la página oficial de Facebook (bloqueada para scraping automatizado) para confirmarlo. NO USAR sin verificación manual directa.",,
Justin Quiles,De La Font Agency,Sin email directo publicado — solo formulario web,Formulario web,https://delafontagency.com/music-acts/booking-justin-quiles/,Baja,"Confirmado por fetch directo. La propia página aclara explícitamente: 'This company is not Justin Quiles exclusive booking agent' — es un bróker/consultor de entretenimiento, no su representación oficial. No publica email ni teléfono directo.",,
Justin Quiles,(sin identificar - Belinda Cruz / bcmanagement),bcmanagement@gmail.com,Email (NO VERIFICADO),https://www.facebook.com/JQuilesOfficial/,Baja,"Este dato aparece repetido en varios resúmenes de búsqueda vinculados a la sección 'Información de contacto' de la página oficial de Facebook, y coincide parcialmente con el nombre de agente 'Belinda C.' (San Juan, PR, área touring) reportado de forma independiente por un directorio de industria (bookingagentinfo.com, con acceso pagado/parcialmente redactado). No pude renderizar ni confirmar directamente el contenido de Facebook (bloqueado para scraping automatizado). Verificar manualmente antes de usar.",,
Mackie (dúo Yaga y Mackie),Global Talent Booking (agencia de booking),info@globaltalentbookingg.com,Email / formulario web,https://globaltalentbooking.com/yaga-y-mackie.php,Baja,"Confirmado por fetch directo. La página lista a Yaga y Mackie en su catálogo de booking, pero el contacto específico del agente asignado aparece oculto ('Available to Customers' — requiere registrarse/usar el formulario). Solo se pudo confirmar el contacto general de la agencia de terceros, no un canal oficial del dúo.",,
Mackie (dúo Yaga y Mackie),"DCAM (booking, según página oficial de Facebook)",Tel. +1-703-597-8759 / dariocuevaad@gmail.com,Teléfono / Email (NO VERIFICADO),https://www.facebook.com/yagaymackie/,Baja,"Este dato aparece de forma consistente en varios resúmenes de búsqueda distintos, vinculado a la sección 'Información de contacto' de la página oficial de Facebook del dúo (@yagaymackie, con nota 'Página Oficial'). No pude renderizar ni confirmar directamente esa sección (Facebook bloquea el acceso automatizado / scraping). Verificar manualmente visitando la página de Facebook antes de usar, dado que en este mismo ejercicio se detectó al menos un dato similar (para Lenny Tavárez) que resultó ser poco confiable.",,
Blessd,THE·TEAM (ex-Wasserman Music) - agentes Juan Toro y Ryan Soroka,Formulario de contacto (Music Talent),Booking/Touring (agencia),https://the.team/music-talent/contact-us/,Media,"Prensa de industria confirma que Blessd firmo con Wasserman Music (ahora THE.TEAM) para touring MUNDIAL, pero EXCLUYE explicitamente Colombia y Mexico de esa representacion -- por lo que puede no ser el canal correcto para un pitch colombiano. No se hallo pagina especifica de Blessd en el sitio (redirige al formulario general de Music Talent). Fuente de la relacion agencia-artista: https://hq.rostr.cc/insider/news/blessd-signs-with-wasserman-music",8M (Instagram @blessd),No evaluado (no se revisaron comentarios de posts recientes)
Blessd,Dimelo Jara (Cigol Music Group) - manager,No publicado,Management,"https://www.blessd.co/ (enlace de navegacion ""DIMELO JARA"" sin destino) ; https://www.cigolmusic.com/",Baja,"Se confirmo publicamente por multiples medios que Dimelo Jara (Santiago Jaramillo Moran) es el manager de Blessd y que Cigol Music Group es su sello/colectivo (con sede en Medellin/Woodland Hills). NO se encontro ningun correo o telefono de contacto publicado por Cigol Music ni por Dimelo Jara Company en su sitio oficial (Wix, sin mailto visible). No inventar correo.",8M (Instagram @blessd),No evaluado
Kevin Roldán,King Records (su propio sello) - manager Sebastian Vallejo,booking@kingrecordsusa.com / WhatsApp +1 786 877 5641,Booking,https://kevin-roldan.com/contacto,Media,El sitio oficial kevin-roldan.com/contacto es una SPA en JavaScript que no pude renderizar directamente (fetch devolvio pagina vacia); el dato del correo y telefono aparece corroborado de forma consistente en multiples resultados de busqueda independientes que citan esa pagina y el perfil de Instagram del manager @krmanager / @managerkr (Sebastian Vallejo). Se recomienda verificar visualmente antes de escribir.,11M (Instagram @kevinroldankr),No evaluado
